,hotel_name,hotel_url,hotel_address,hotel_rating,hotel_price,hotel_info
0,The Chancery Pavilion,"https://me.cleartrip.com//hotels/details/the-chancery-pavilion-40140?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Residency Road,5 star,,"The Chancery PavilionTechno gymnasium, 20,000 sq. feet of conferencing space, 225 elegantly styled rooms and much more are on offer at The Chancery Pavilion. This ultra-modern 5-star hotel is a reflection of the cosmopolitan nature of Bengaluru. Cobbled entrance, a lavish lobby, luxury accommodation and state-of-the-art conference and banquet space are on offer at this upscale hotel. It's a treat for foodies at Chancery Pavilion from a Gourmet food served at Ithaca (all day dining) to keep your spirits high at Amnesia uber-chic lounge bar). Along with a bottle of vintage wine, grab a table to enjoy the midnight buffet under the starlit sky.
													
Continue reading
"
1,The Leela Palace Bangalore,"https://me.cleartrip.com//hotels/details/the-leela-palace-bangalore-40167?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Indiranagar,5 star,,"The Leela Palace BangaloreSpread across 9 acres, The Leela Palace is undoubtedly one of the grandest 5-star hotels in Bangalore. All the 284 deluxe rooms, 44 royal club rooms, and 29 suites of this luxurious hotel are well-furnished, large, and have attached bathrooms with modern toiletries and running hot & cold water supply. Besides, the air-conditioned rooms have all the modern amenities including a large flat-screen television with satellite channels, DVD player, tea & coffee maker, mini refrigerator, and fully-stocked minibar. You can also enjoy complimentary high-speed internet connectivity and cordless telephone with direct dialling facility right from the room.This hotel offers round-the-clock room service, airport transportation, concierge, laundry & dry cleaning, wheelchair accessibility, and complimentary parking facility. The in-house restaurant, Citrus, offers all-day dining with an amazing culinary experience. Besides, you can also enjoy Pan Asian cuisine in Zen and signature Indian dishes in Jamavar restaurant. And to have an Italian fine-dining experience, this hotel has Le Cirque Signature restaurant. Guests can also unwind while enjoying a grand selection of spirits and cocktails at the in-house Library Bar. Dont forget to opt for traditional massage therapies at the in-house spa, Espa. You can also maintain your workout routine in the fully-equipped gymnasium or can just take a refreshing dip in the outdoor pool.The Leela Palace is located 40 km from Bangalore International Airport and 7 km from KR Puram Railway Station. There are many things to do in Bangalore while staying at this place such as taking a wildlife tour to the Bannerghatta Biological Park. You can also visit Lalbagh Botanical Garden and Sri Chamarajendra Park which are among the most beautiful things to see in Bangalore. And to seek blessings, visit the ISKCON Temple and Nandi Temple.
													
Continue reading
"
2,Oakwood Residence Prestige Whitefield,"https://me.cleartrip.com//hotels/details/oakwood-residence-prestige-whitefield-bangalore-713480?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Whitefield,5 star,,"Oakwood Residence Prestige Whitefield The upscale and well-appointed property is the first internationally managed serviced residence in Whitefield, Bangalore. Located in a city rich with ancient English history, the property overlooks the beautiful Varthur Lake, 18km from the CBD, and is only 4 kms away from Karnataka Trade Promotion Organization, Whitefield.Ideal for short and long term stays, the 143 fully furnished and equipped serviced residences offer all the comforts of home with highly personalized service in a safe and secure environment. Located on top of the renowned Forum Value Mall; dining, entertainment and shopping are right at your doorstep.Oakwood Residence Prestige Whitefield Bangalore offers breath-taking views in the I.T. Hub of Bangalore, world-class amenities and legendary services from little home-comforts such as room service, Wi-Fi, daily newspapers or freshly pressed laundry and seamless business services.

Continue reading
"
3,The Waverly Hotel & Residences,"https://me.cleartrip.com//hotels/details/the-waverly-hotel-and-residences-1358190?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Whitefield,4 star,,"The Waverly Hotel & ResidencesThe Waverly Hotel & Residences The Waverly Hotels & Residences is a luxury boutique property designed as a quintessentially British-themed boutique hotel that draws inspiration from the colonial heritage of Whitefield, where it is located. Its 54 exceptionally well-appointed rooms and suites offer customised luxury, where each of our rooms is designed to offer a unique experience. With an inherent Victorian meets Contemporary air to the architecture, design and style, guests experience our discreet, intuitive attention to detail, and what we call all-star service at every turn.Located in the heart of the citys IT corridor in Whitefield, ~40 KM from Kempegowda International Airport and ~10 KM from CBD, The Waverly, offers the choicest comforts and facilities such as the SkyDeck - a high vantage point with a panoramic view of Whitefield, an outdoor jogging track, an open-air temperature-controlled pool, a yoga deck and a fitness centre. Whats more? The Hotel provides the best in dining options including Alt  a rooftop lounge & bar, a microbrewery & pub  The Whitefield Arms, Toscano a fine dine Italian restaurant and much more.The Waverly is seamlessly connected to The Hive, a collaborative workspace offering state-of- the-art facilities to cater to all our guests business needs and also a premium retail centre housing international brands such as H&M, Superdry and Forever21, PVR a 9 screen Multiplex with an IMAX screen along with an global standard Family Entertainment Centre and Soft play to ensure your family has a wonderful stay with us.So, whether you are someone from within the city or outside, a business traveller or person of leisure, a Waverly Staycation is a treat you must gift yourself.
													
Continue reading
"
4,The Lalit Ashok Bangalore,"https://me.cleartrip.com//hotels/details/the-lalit-ashok-40165?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Palace Road,5 star,,"The Lalit Ashok BangaloreSpread across ten acres of sprawling greenery, The Lalit Ashok is one of the finest and oldest 5-star hotels in the city. The 187 rooms and suites are a blend of luxury and comfort, you choose between the golf course view and the pool-side view. It offers one of the largest banqueting spaces of about 59,000 sq. feet in the city and has won the ""best convention hotel, India"" award in 2013. The hotel is proud to announce #purelove message for 2018 to welcome every guest without any discrimination and to celebrate diversity. In dining, you are spoilt with choices  they have the Baluchi, its signature Indian restaurant, Oka pan-Asian cuisine and the sushi here is rated the best in town by Eazydiner, the 24/7 restaurant and the Lalit Boulangerie. For the party-goers, check-into to Sutra, the award-winning lounge bar and Kitty Ko, the rooftop view of the city.
													
Continue reading
"
5,Hotel Royal Orchid,"https://me.cleartrip.com//hotels/details/hotel-royal-orchid-40121?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Indiranagar,5 star,,"Hotel Royal OrchidOverlooking the sprawling Karnataka Golf Course, this 5-star property is located in the heart of the city. The 195 rooms and suites wear an opulent look along with premium modern facilities. You can choose either a garden view room or a gold view or both. When it comes to banquet/meeting space, the hotel offers the perfect venue for a particular occasion or event. There are banquet halls with a garden view, poolside and lawn  ideal to host corporate events, private parties and weddings. The well-trained dedicated staff can plan your event without any glitches and within your budget. There are three restaurants  Limelight (24/7 coffee shop), Ginseng (Pan-Asian) and Tiger Trail (Indian).
													
Continue reading
"
6,Svenska Design Hotel,"https://me.cleartrip.com//hotels/details/svenska-design-hotel-319952?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Electronic City,4 star,,"Svenska Design HotelSvenska Design Hotel Bangalore is a chic and stylish hotel inspired by the Swedish design philosophy with clean lines and minimalist interiors. It offers luxury beyond 5 Star providing a memorable experience. The hotel also offers an ultimate gourmet experience in various signature award-winning restaurants and trendy lounge bars.LocationSvenska Bangalore is situated in Electronic City in South Bangalore, a technology hub with over 100 companies and 100,000 employees. A 10-lane elevated highway connects Koramangala to Electronic City with driving time of less than 15 minutes. The distances to some of the popular places in the city are; Golf Coin Club (19 kms), Bannerghatta National Park (21 kms), Lal Bagh (20 kms) and Madivala Lake (13 kms).Bangalore International Airport: 55-6- Kms | City Main Railway Station: 20 Kms FeaturesApart from luxurious accommodation, the hotel boasts of some world class facilities yet affordable. This hotel has a well equipped fitness centre and it also offers exotic spa treatments to the utter delight of its guests while the rooftop swimming pool is perfect to unwind after a tiring day. It offers complimentary WiFi connectivity to the benefit of the discerning business traveller. The other facilities are; 24 hours room service, concierge and butler services. It also offers both residential as well as non-residential banqueting, conferencing and party options.  RoomsThe luxurious and chic styled rooms are complemented by pampering amenities. The rooms are equipped with I-Pod docking stations, Hi-Speed wireless internet access and flexible workstation with data port. DVD player with movies are made available upon request of the guest. The other in-room amenities are; laundry, iron and ironing board, mini bar, tea and coffee maker, rain and massage hangzhou showers, shoe shine and butler service etc.
													
Continue reading
"
7,Oakwood Premier Prestige Bangalore,"https://me.cleartrip.com//hotels/details/oakwood-premier-prestige-bangalore-320455?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Bapuji Nagar,5 star,,"Oakwood Premier Prestige BangaloreOakwood Premier Prestige, Bengaluru is a luxury serviced residence at a strategic location of the city. It offers a wide range of lavish facilities suited to the requirements of business and leisure travelers. The magnificent and luxurious apartments are decorated with modern amenities and conveniences. Food lovers can treat their taste buds at the elegant restaurant. To unwind and have an ultimate relaxation, this property features a marvelous spa, splendid pool, royal lounge and grand fitness center. It has also been awarded the Certificate of Excellence in 2013 by Tripadvisor. LocationOakwood Premier Prestige is situated at a strategic location of the city at Vittal Mallya Road UB City. Some interesting places to visit in its close proximity are Government Aquarium (1 km), Cubbon Park (1.3 km), ISKCON Temple (12.7 km), Lal Bagh Garden (3.7 km), Tipu's Palace (4 km), Venkatappa Art Gallery (1.5 km) and Ulsoor Lake (4.2km).Bengaluru International Airport - 36.5 km (Approx.)Bangalore City Junction Railway Station - 4.5 km (Approx.)FacilitiesMatchless and admirable facilities offered by this property include restaurant, bar, fitness center, boardroom, swimming pool and spa. Soal City Restaurant is the perfect place where one can relish with authentic Indian, Chinese and Continental cuisines. There is a boardroom to hold discussions and interviews. For the fitness freaks, there is a colossal swimming pool and fully equipped fitness center. One can rejuvenate and enliven at the spa as well. Wi-Fi access is available in public areas. Genesis business services are offered to the corporate travelers. There is a transportation desk where travel requirements of guests are fulfilled. Other additional services like car park, daily housekeeping service, daily newspaper delivery, high speed internet connection, laundry & dry cleaning service, 24 hour room service, 24 hour front desk, security and concierge services. RoomsOakwood Premier Prestige has 139 elegant and luxurious rooms in the categories of One Bedroom Apartment, Two Bedroom Apartment, Three Bedroom Apartment and Studio Apartment. Each apartment is garlanded with carpeted floor, stylish fixtures and trendy interiors. All the apartments are equipped with air conditioner, desk, iron, safety deposit box, electric kettle, hair dryer, flat screen television with satellite channels, tea coffee maker, mini bar, sofa and telephone. There is a seating area, dining area, kitchen, toilet and an attached bathroom with every apartment. Wake up services are offered to the guests. 

Continue reading
"
8,Four Points By Sheraton Bengaluru Whitefield,"https://me.cleartrip.com//hotels/details/four-points-by-sheraton-bengaluru-whitefield-720899?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Whitefield,4 star,,"Four Points By Sheraton Bengaluru WhitefieldFOUR POINTS BY SHERATON BENGALURU, WHITEFIELDClose to the Action. Youll love the location of the Four Points by Sheraton Bengaluru, Whitefield. We Have It All. Make time for a workout in the gym or a few laps in the rooftop swimming pool. Have a delicious meal in our all-day dining restaurant, and drop by Best Brews for a chilled beer. We also have plenty for business travellers, like a well-equipped business centre, High Speed Internet Access, and two meeting venues that total 260 square metres of space.Make Yourself at Home. We understand that the best things in life are simple. Settle in to one of our 102 guest rooms and suites, and get a great nights sleep in the inviting Four Points by Sheraton Four Comfort Bed. Youll also get plenty of free extras, like bottled water daily and wireless High Speed Internet Access in the lobby.Just 15 kilometres from the city centre, we offer easy access to local tech and business parks, and retail shopping is also close by. Kempegowda International Airport (BLR) is approximately one hour away by car via the outer ring road.
													
Continue reading
"
9,La Marvella A Sarovar Premiere Hotel,"https://me.cleartrip.com//hotels/details/la-marvella-a-sarovar-premiere-hotel-2050898?c=130620|140620&r=2,0&shwb=true&compId=&fr=1&ur=1&urt=featured&stp=chmm&pahCCRequired=true&op=true&area=&sd=1553075158552&lowRate=true&dest_code=&tags=#", Jayanagar,5 star,,"La Marvella A Sarovar Premiere HotelConveniently located in the heart of the city on South End Circle, La Marvella, Bengaluru  A Sarovar Premiere Hotel provides easy access to the Top multi national companies in its neighborhood such as Accenture, NTT Data, Dassault System, Honeywell, IBM, CISCO, VMware, Oracle. Bigger healthcare institutions such as  Apollo Hospital, NIHMANS, Clumax, Fortis, Jayadeva Cardio, St John, Kidwai Cancer, BGS Global Hospital, Sagar Hospital, Malti Manipal Hospital are in its vicinity. With the new Rapid Metro Access (100 meters from the hotel) the city center & city remote locations are just minutes away. Brigade Software Park, IBC Knowledge Park, Global Village, Kalyani Magnum Tech Park, Divyashree Towers, Vakil Square & Subramanya Arcade, are all 5 to 15 minutes' drive from the hotel. One can reach BIEC & electronic city using NICE road & Metro within 25-35 minutes. Industrial area such as Jigani, Bidadi, Harohalli, Bommasandra, Hosur are in close proximity. Places of interest such as Lalbagh, Basavangudi Aquatic Centre, Art of Living, Nityananad Ashram, Bannerghatta Safari are all nearby. Hotel is surrounded by key commercial areas such as BTM layout, JP Nagar, Kormangla, MG Road, Lalbagh, IIM, BasavanGudi, Banashankari, Mysore road. Jayangar shopping market is located at a walking distance. Educational institution such as IIM, Dayanand Sagar, BMS Engineering, Vijaya College, National College, Christ University, Bangalore University, RV Dental Colleges, KIMS, Oxford, PES university are also in vicinity. The Kempegowda International Airport is located 45 minutes from the hotel. Bengaluru City Railway station is approximately 6 km & Majestic Inter Bus Terminal is approximately 5.5 km away. Establishing a striking presence in Bangalore's most admired place - Jayangar, La Marvella, Bengaluru  A Sarovar Premiere Hotel welcomes travelers to the garden city of India. Surrounded with green verdant trees, the hotel truly renders a five-star experience. Besides 102 Smart luxury guest rooms, this tech savvy fashionable hotel has many culinary options to offer too. Travellers can choose pick favorite dish from local delicacies to international cuisine at 'Golden Oak'  a fine dining restaurant. Unwind yourself at the contemporary designed 21C lounge bar. Sohum Spa offers rejuvenating experiences to mind, body and soul. One can take a dip in the swimming pool at the rooftop or catch up with his/her regular workout at the gym. The hotel offers 6 banquet spaces with capacity of 10-1000 persons amidst elegant design and ambience to suit your need.
													
Continue reading
"
